Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
310335,LE,CSSD,1102,,3,3,3,EN,2025,FW,LE,M2,Coding through Chemistry (CS1 B),LE,EECS,N,Y,N,A,EN,51,96,96,LE,EECS,LAB,1,W,MA,EN,33,48,48,R,12:30,230,2,MK,4005,48,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,895343
310335,LE,CSSD,1102,,3,3,3,EN,2025,FW,LE,M2,Coding through Chemistry (CS1 B),LE,EECS,N,Y,N,A,EN,51,96,96,LE,EECS,LAB,2,W,MA,EN,18,48,48,R,12:30,230,2,MK,4010,48,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,895344
310335,LE,CSSD,1102,,3,3,3,EN,2025,FW,LE,M2,Coding through Chemistry (CS1 B),LE,EECS,N,Y,N,A,EN,51,96,96,LE,EECS,LAB,3,W,MA,EN,0,0,0,R,12:30,230,1,MK,4000,32,,Course Director:,Section Director: 102122394  Qin Meiying,Meet Instructor:,895345
308618,LE,CSSD,2102,,4,4,4,EN,2025,FW,LE,F,Data Structures & Algorithms,LE,EECS,Y,N,N,A,EN,74,96,96,LE,EECS,LECT,1,W,MA,EN,74,96,96,R,13:00,80,,MK,2060,100,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor: 102116533  Zhang Larry Yueli,893424
304619,LE,DIGT,1101,,4,4,4,EN,2025,FW,LE,F,Introduction to Computational Problem Solving,LE,EECS,N,Y,N,A,EN,23,28,28,LE,EECS,LAB,1,M,MA,EN,23,28,28,R,14:00,170,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893272
307684,LE,DIGT,2107,,3,3,3,EN,2025,FW,LE,FS,Practice of Software Development,LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,LAB,1,M,MA,EN,14,15,15,R,13:30,170,2,,,,,Course Director:,Section Director: 102122087  Haidar May,Meet Instructor:,893301
309787,LE,DIGT,3131,,3,3,3,EN,2025,FW,LE,Y,Introduction to Machine Learning I,LE,EECS,Y,N,N,A,EN,3,20,20,LE,EECS,BLEN,1,M,MA,EN,3,20,20,R,9:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor: 102111441  Vashisth Pooja,893327
309787,LE,DIGT,3131,,3,3,3,EN,2025,FW,LE,Y,Introduction to Machine Learning I,LE,EECS,Y,N,N,A,EN,3,20,20,LE,EECS,LAB,1,M,MA,EN,3,20,20,R,14:00,110,2,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor:,893329
309790,LE,DIGT,3141,,3,3,3,EN,2025,FW,LE,Y,Software I: Software Design and Architecture,LE,EECS,Y,N,N,A,EN,8,20,20,LE,EECS,BLEN,1,M,MA,EN,8,20,20,R,11:00,110,,,,,,Course Director:,Section Director: 102088871  Fokaefs Marios,Meet Instructor: 102088871  Fokaefs Marios,893332
309790,LE,DIGT,3141,,3,3,3,EN,2025,FW,LE,Y,Software I: Software Design and Architecture,LE,EECS,Y,N,N,A,EN,8,20,20,LE,EECS,LAB,1,M,MA,EN,8,20,20,R,14:00,110,2,,,,,Course Director:,Section Director: 102088871  Fokaefs Marios,Meet Instructor:,893334
309799,LE,DIGT,3221,,3,3,3,EN,2025,FW,LE,Y,Security by Design,LE,EECS,Y,N,N,A,EN,4,20,20,LE,EECS,LAB,1,M,MA,EN,4,20,20,R,14:00,110,2,,,,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor:,893345
302399,LE,ENG,1101,,4,4,4,EN,2025,FW,LE,F,"Renaissance Engineer 1: Ethics, Communication & Problem Solving",LE,ENG,N,Y,N,H,EN,82,120,120,LE,ENG,BLEN,1,W,MA,EN,82,120,120,R,14:00,110,,MK,4070,137,,Course Director: 102099581  Harris Jeffrey,Section Director: 102093820  Zhuang Kai,Meet Instructor: 102093820  Zhuang Kai,866198
302399,LE,ENG,1101,,4,4,4,EN,2025,FW,LE,F,"Renaissance Engineer 1: Ethics, Communication & Problem Solving",LE,ENG,N,Y,N,H,EN,82,120,120,LE,ENG,TUTR,2,W,MA,EN,28,32,32,R,11:30,110,,MK,6015,36,,Course Director: 102099581  Harris Jeffrey,Section Director: 102093820  Zhuang Kai,Meet Instructor:,866200
302399,LE,ENG,1101,,4,4,4,EN,2025,FW,LE,F,"Renaissance Engineer 1: Ethics, Communication & Problem Solving",LE,ENG,N,Y,N,H,EN,82,120,120,LE,ENG,TUTR,3,W,MA,EN,29,32,32,R,11:30,110,,MK,5050,49,,Course Director: 102099581  Harris Jeffrey,Section Director: 102093820  Zhuang Kai,Meet Instructor:,866201
293894,SC,BIOL,1000,,3,3,3,EN,2025,FW,SC,F,"Biology I - Cells, Molecular Biology and Genetics",SC,BIOL,N,Y,N,E,EN,19,48,48,SC,BIOL,LAB,3,W,MA,EN,19,24,24,R,14:30,170,9,MK,6045,24,,Course Director:,Section Director: 102116694  Atallah Jade,Meet Instructor:,866038
309523,SC,MATH,1013,,3,3,3,EN,2025,FW,SC,F,Applied Calculus I,SC,MATH,N,Y,N,I,EN,93,135,135,SC,MATH,LECT,1,W,MA,EN,93,135,135,R,9:00,80,9,MK,4070,137,,Course Director:,Section Director: 102116696  Yang Jihyeon Jessie,Meet Instructor: 102116696  Yang Jihyeon Jessie,866071
309523,SC,MATH,1013,,3,3,3,EN,2025,FW,SC,F,Applied Calculus I,SC,MATH,N,Y,N,J,EN,0,0,0,SC,MATH,LECT,1,W,MA,EN,0,0,0,R,9:00,80,1,,,,,Course Director:,Section Director:,Meet Instructor:,866072
309704,SC,MATH,1516,,3,3,3,EN,2025,FW,SC,F,General Mathematics for Software Development,SC,MATH,N,N,N,A,EN,49,96,96,SC,MATH,LECT,1,W,MA,EN,49,96,96,R,16:30,80,2,MK,2055,100,,Course Director:,Section Director: 102116696  Yang Jihyeon Jessie,Meet Instructor: 102116696  Yang Jihyeon Jessie,891028
309704,SC,MATH,1516,,3,3,3,EN,2025,FW,SC,F,General Mathematics for Software Development,SC,MATH,N,N,N,B,EN,24,28,28,SC,MATH,BLEN,1,W,MA,EN,24,28,28,R,10:30,80,2,MK,5000,48,,Course Director:,Section Director: 102116696  Yang Jihyeon Jessie,Meet Instructor: 102116696  Yang Jihyeon Jessie,891026
309704,SC,MATH,1516,,3,3,3,EN,2025,FW,SC,F,General Mathematics for Software Development,SC,MATH,N,N,N,B,EN,24,28,28,SC,MATH,TUTR,1,W,MA,EN,24,28,28,R,12:00,80,2,MK,5000,48,,Course Director:,Section Director: 102116696  Yang Jihyeon Jessie,Meet Instructor:,891030
288593,SC,MATH,2030,,3,3,3,EN,2025,FW,SC,F,Elementary Probability,SC,MATH,N,Y,N,D,EN,13,35,35,SC,MATH,LECT,1,W,MA,EN,13,35,35,R,11:30,170,,MK,4040,50,,Course Director:,Section Director: 101040221  Chan Jason Chin-Tiong,Meet Instructor: 101040221  Chan Jason Chin-Tiong,889521
301203,SC,PHYS,1421,,3,3,3,EN,2025,FW,SC,F,Physics with Life Science Applications 1,SC,PHYS,N,N,N,B,EN,1,48,48,SC,PHYS,LAB,1,W,MA,EN,1,24,24,R,14:30,170,9,MK,6035,24,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor:,866089
306775,SC,PHYS,1800,,3,3,3,EN,2025,FW,SC,F,Engineering Mechanics,SC,PHYS,Y,N,N,C,EN,80,100,100,SC,PHYS,LAB,3,W,MA,EN,24,24,24,R,10:30,170,9,MK,6035,24,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor:,866106
