Seq Crs View,Fac,Subj,Crs Num,Rub Var,Cred Weight,Fee Weight,MET Weight,Lang,Acad Year,Session,Period Fac,Per,Course Title,Resp Fac,Resp Unit,Pre-req,Is Pre-req,Enf Pre-req,Sect,Lang Sect,Enr Count Sect,Max Enr Sect,Targ Enr Sect,Resp Fac Sect,Resp Unit Sect,Inst,Grp,Freq,Campus,Lang Meet,Enr Count,Max Enr,Targ Enr,Day,Hour,Dur.,Book Prio,Building,Room,Room Capacity,Assoc Crs Fees,Course Dir,Section Dir,Instructor,Seqmeeting
304619,LE,DIGT,1101,,4,4,4,EN,2025,FW,LE,F,Introduction to Computational Problem Solving,LE,EECS,N,Y,N,A,EN,23,28,28,LE,EECS,LAB,1,M,MA,EN,23,28,28,W,14:30,80,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893270
304621,LE,DIGT,1161,,2,2,2,EN,2025,FW,LE,Y,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,23,28,28,LE,EECS,BLEN,1,M,MA,EN,23,28,28,W,9:30,50,2,,,,,Course Director:,Section Director:,Meet Instructor:,893274
304621,LE,DIGT,1161,,2,2,2,EN,2025,FW,LE,Y,Teamwork and Communication in Software Development,LE,EECS,N,N,N,A,EN,23,28,28,LE,EECS,LAB,1,M,MA,EN,23,28,28,W,10:30,80,2,,,,,Course Director:,Section Director:,Meet Instructor:,893276
307682,LE,DIGT,1172,,3,3,3,EN,2025,FW,LE,F,Being a Digital Citizen,LE,EECS,N,Y,N,A,EN,63,70,70,LE,EECS,SEMR,1,W,MA,EN,63,70,70,W,11:30,170,2,MK,2055,100,,Course Director:,Section Director:,Meet Instructor:,893278
307682,LE,DIGT,1172,,3,3,3,EN,2025,FW,LE,F,Being a Digital Citizen,LE,EECS,N,Y,N,B,EN,0,0,0,LE,EECS,SEMR,1,W,MA,EN,0,0,0,W,11:30,170,1,,,,,Course Director:,Section Director:,Meet Instructor:,893279
307682,LE,DIGT,1172,,3,3,3,EN,2025,FW,LE,F,Being a Digital Citizen,LE,EECS,N,Y,N,C,EN,22,28,28,LE,EECS,BLEN,1,W,MA,EN,22,28,28,W,16:30,170,2,,,,,Course Director:,Section Director:,Meet Instructor:,895136
307683,LE,DIGT,2102,,8,8,8,EN,2025,FW,LE,FS,"Data Structures, Algorithms & Analysis",LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,BLEN,1,M,MA,EN,14,15,15,W,9:30,80,2,,,,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor: 102116533  Zhang Larry Yueli,893291
307683,LE,DIGT,2102,,8,8,8,EN,2025,FW,LE,FS,"Data Structures, Algorithms & Analysis",LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,LAB,1,M,MA,EN,14,15,15,W,11:00,80,2,,,,,Course Director:,Section Director: 102116533  Zhang Larry Yueli,Meet Instructor:,893293
307681,LE,DIGT,2103,,4,4,4,EN,2025,FW,LE,Y,Introduction to Computer Organization & Systems,LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,BLEN,1,M,MA,EN,14,15,15,W,13:30,80,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor: 102118980  Schroeder Jonatan,893296
307681,LE,DIGT,2103,,4,4,4,EN,2025,FW,LE,Y,Introduction to Computer Organization & Systems,LE,EECS,Y,Y,N,A,EN,14,15,15,LE,EECS,LAB,1,W,MA,EN,14,15,15,W,15:00,110,2,,,,,Course Director:,Section Director: 102118980  Schroeder Jonatan,Meet Instructor:,893297
309795,LE,DIGT,3107,,3,3,3,EN,2025,FW,LE,Y,Data Management Systems,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,BLEN,1,M,MA,EN,15,20,20,W,9:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor: 102111441  Vashisth Pooja,893317
309795,LE,DIGT,3107,,3,3,3,EN,2025,FW,LE,Y,Data Management Systems,LE,EECS,Y,N,N,A,EN,15,20,20,LE,EECS,LAB,1,M,MA,EN,15,20,20,W,11:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor:,893319
309787,LE,DIGT,3131,,3,3,3,EN,2025,FW,LE,Y,Introduction to Machine Learning I,LE,EECS,Y,N,N,A,EN,3,20,20,LE,EECS,BLEN,1,M,MA,EN,3,20,20,W,16:00,110,,,,,,Course Director:,Section Director: 102111441  Vashisth Pooja,Meet Instructor: 102111441  Vashisth Pooja,893326
309799,LE,DIGT,3221,,3,3,3,EN,2025,FW,LE,Y,Security by Design,LE,EECS,Y,N,N,A,EN,4,20,20,LE,EECS,BLEN,1,M,MA,EN,4,20,20,W,14:00,110,,,,,,Course Director:,Section Director: 102031586  Mohaghegh Navid,Meet Instructor: 102031586  Mohaghegh Navid,893343
305982,LE,EECS,1011,,3,3,3,EN,2025,FW,LE,F,Computational Thinking Through Procedural Programming and Mechatronics,LE,EECS,Y,Y,N,I,EN,82,120,120,LE,EECS,LECT,1,W,MA,EN,82,120,120,W,11:30,50,,MK,4070,137,,Course Director:,Section Director: 102093820  Zhuang Kai,Meet Instructor: 102093820  Zhuang Kai,882635
305982,LE,EECS,1011,,3,3,3,EN,2025,FW,LE,F,Computational Thinking Through Procedural Programming and Mechatronics,LE,EECS,Y,Y,N,I,EN,82,120,120,LE,EECS,LAB,2,W,MA,EN,22,24,24,W,14:30,170,,MK,5000,48,,Course Director:,Section Director: 102093820  Zhuang Kai,Meet Instructor:,882631
302399,LE,ENG,1101,,4,4,4,EN,2025,FW,LE,F,"Renaissance Engineer 1: Ethics, Communication & Problem Solving",LE,ENG,N,Y,N,H,EN,82,120,120,LE,ENG,TUTR,1,W,MA,EN,24,32,32,W,14:30,110,,MK,4050,50,,Course Director: 102099581  Harris Jeffrey,Section Director: 102093820  Zhuang Kai,Meet Instructor:,866199
293894,SC,BIOL,1000,,3,3,3,EN,2025,FW,SC,F,"Biology I - Cells, Molecular Biology and Genetics",SC,BIOL,N,Y,N,E,EN,19,48,48,SC,BIOL,LECT,1,W,MA,EN,19,48,48,W,13:30,50,9,MK,5050,49,,Course Director:,Section Director: 102116694  Atallah Jade,Meet Instructor: 102116694  Atallah Jade,866039
293894,SC,BIOL,1000,,3,3,3,EN,2025,FW,SC,F,"Biology I - Cells, Molecular Biology and Genetics",SC,BIOL,N,Y,N,E,EN,19,48,48,SC,BIOL,LAB,2,W,MA,EN,0,24,0,W,14:30,170,1,,,,,Course Director:,Section Director: 102116694  Atallah Jade,Meet Instructor:,866037
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,LECT,1,W,MA,EN,12,30,30,W,11:30,50,9,MK,4050,50,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor: 102094776  Kouyoumdjian Hovig,866053
294269,SC,CHEM,1000,,3,3,3,EN,2025,FW,SC,F,Chemical Structure,SC,CHEM,N,Y,N,E,EN,12,30,30,SC,CHEM,LAB,2,F,MA,EN,0,0,0,W,14:30,170,1,,,,,Course Director:,Section Director: 102094776  Kouyoumdjian Hovig,Meet Instructor:,866049
309525,SC,MATH,1025,,3,3,3,EN,2025,FW,SC,F,Applied Linear Algebra,SC,MATH,N,Y,N,H,EN,83,135,135,SC,MATH,LECT,1,W,MA,EN,83,135,135,W,13:30,50,9,MK,4070,137,,Course Director:,Section Director: 102091479  Lumley Allysa,Meet Instructor: 102091479  Lumley Allysa,866081
298954,SC,MATH,1506,,3,3,3,EN,2025,FW,SC,F,Mathematics I for the Biological and Health Sciences,SC,MATH,N,Y,N,I,EN,26,50,50,SC,MATH,LECT,1,W,MA,EN,26,50,50,W,9:00,80,9,MK,4050,50,,Course Director:,Section Director: 102091479  Lumley Allysa,Meet Instructor: 102091479  Lumley Allysa,866084
298954,SC,MATH,1506,,3,3,3,EN,2025,FW,SC,F,Mathematics I for the Biological and Health Sciences,SC,MATH,N,Y,N,I,EN,26,50,50,SC,MATH,TUTR,1,W,MA,EN,26,50,50,W,10:30,50,9,MK,4050,50,,Course Director:,Section Director: 102091479  Lumley Allysa,Meet Instructor:,866085
301203,SC,PHYS,1421,,3,3,3,EN,2025,FW,SC,F,Physics with Life Science Applications 1,SC,PHYS,N,N,N,B,EN,1,48,48,SC,PHYS,LECT,1,W,MA,EN,1,48,48,W,12:30,50,9,MK,5050,49,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor: 102014841  Orchard Gloria,866092
306775,SC,PHYS,1800,,3,3,3,EN,2025,FW,SC,F,Engineering Mechanics,SC,PHYS,Y,N,N,C,EN,80,100,100,SC,PHYS,LECT,1,W,MA,EN,80,100,100,W,10:30,50,9,MK,2060,100,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor: 102014841  Orchard Gloria,866108
306775,SC,PHYS,1800,,3,3,3,EN,2025,FW,SC,F,Engineering Mechanics,SC,PHYS,Y,N,N,C,EN,80,100,100,SC,PHYS,LAB,4,W,MA,EN,8,24,24,W,14:30,170,1,MK,6035,24,,Course Director:,Section Director: 102014841  Orchard Gloria,Meet Instructor:,894916
